bray_curtis	LAGZCK1	LAGZCK2	LAGZCK3	LAGZCK4	LAGZCK5	LAGZCK6	LAGZCK7	LAGZCK8	LAGZCK9	LAGZFo1	LAGZFo2	LAGZFo3	LAGZFo4	LAGZFo5	LAGZFo6	LAGZFo7	LAGZFo8	LAGZFo9	LAHEBCK1	LAHEBCK2	LAHEBCK3	LAHEBCK4	LAHEBCK5	LAHEBCK6	LAHEBCK7	LAHEBCK8	LAHEBCK9	LAHEBFo1	LAHEBFo2	LAHEBFo3	LAHEBFo4	LAHEBFo5	LAHEBFo6	LAHEBFo7	LAHEBFo8	LAHEBFo9	LAZJCK1	LAZJCK2	LAZJCK3	LAZJCK4	LAZJCK5	LAZJCK6	LAZJCK7	LAZJCK8	LAZJCK9	LAZJFo1	LAZJFo2	LAZJFo3	LAZJFo4	LAZJFo5	LAZJFo6	LAZJFo7	LAZJFo8	LAZJFo9	MMGZCK1	MMGZCK2	MMGZCK3	MMGZCK4	MMGZCK5	MMGZCK6	MMGZCK7	MMGZCK8	MMGZCK9	MMGZFo1	MMGZFo2	MMGZFo3	MMGZFo4	MMGZFo5	MMGZFo6	MMGZFo7	MMGZFo8	MMGZFo9	MMHEBCK1	MMHEBCK2	MMHEBCK3	MMHEBCK4	MMHEBCK5	MMHEBCK6	MMHEBCK7	MMHEBCK8	MMHEBCK9	MMHEBFo1	MMHEBFo2	MMHEBFo3	MMHEBFo4	MMHEBFo5	MMHEBFo6	MMHEBFo7	MMHEBFo8	MMHEBFo9	MMZJCK1	MMZJCK2	MMZJCK3	MMZJCK4	MMZJCK5	MMZJCK6	MMZJCK7	MMZJCK8	MMZJCK9	MMZJFo1	MMZJFo2	MMZJFo3	MMZJFo4	MMZJFo5	MMZJFo6	MMZJFo7	MMZJFo8	MMZJFo9
LAGZCK1	0	0.2928	0.28865	0.29715	0.2916	0.29595	0.2945	0.29325	0.2882	0.3253	0.3187	0.31595	0.32995	0.3138	0.3146	0.3214	0.31515	0.3222	0.66	0.65345	0.6512	0.66945	0.6617	0.6482	0.646	0.67275	0.65245	0.64505	0.6401	0.64425	0.6489	0.6439	0.6385	0.65175	0.64475	0.65575	0.64265	0.6531	0.64445	0.64655	0.64305	0.66465	0.6401	0.64255	0.68505	0.66265	0.6623	0.6594	0.6629	0.6552	0.68075	0.6644	0.68015	0.6618	0.44385	0.4445	0.46655	0.4449	0.45305	0.4518	0.4455	0.4434	0.45375	0.4456	0.4605	0.44265	0.4346	0.4407	0.4379	0.4517	0.44635	0.4513	0.66995	0.6727	0.6668	0.66425	0.66515	0.67605	0.67745	0.66055	0.6651	0.679	0.6883	0.67615	0.67475	0.6694	0.6698	0.69025	0.6741	0.68265	0.6973	0.70535	0.69715	0.69805	0.7007	0.7097	0.70615	0.7103	0.69905	0.70795	0.7362	0.6954	0.70045	0.698	0.7213	0.7042	0.7219	0.7065
LAGZCK2	0.2928	0	0.3078	0.28995	0.2968	0.2924	0.31005	0.2932	0.28405	0.33205	0.3242	0.3215	0.33655	0.32275	0.32265	0.33015	0.3317	0.33825	0.67225	0.66195	0.66325	0.681	0.6717	0.6611	0.65695	0.68305	0.66635	0.6519	0.6501	0.65645	0.66235	0.65455	0.6485	0.65975	0.65295	0.66565	0.64685	0.6493	0.6539	0.64485	0.64795	0.66445	0.6517	0.64775	0.68675	0.6628	0.6647	0.6643	0.6638	0.65265	0.68375	0.66615	0.6818	0.66435	0.4457	0.4482	0.4679	0.4504	0.4603	0.44925	0.44485	0.43775	0.4635	0.4541	0.46745	0.44825	0.44555	0.44995	0.44115	0.45485	0.44605	0.45495	0.6674	0.66665	0.6638	0.66415	0.66565	0.67315	0.6686	0.6586	0.657	0.67685	0.68035	0.67535	0.6667	0.6689	0.66525	0.6841	0.66855	0.68135	0.6937	0.70025	0.6982	0.695	0.6955	0.70355	0.6998	0.7049	0.7016	0.70595	0.73865	0.69315	0.69855	0.6988	0.71725	0.70215	0.71905	0.7021
LAGZCK3	0.28865	0.3078	0	0.2983	0.28555	0.2899	0.2889	0.29665	0.29545	0.3155	0.31215	0.31145	0.32345	0.31845	0.31285	0.3152	0.3194	0.3147	0.6439	0.63875	0.63325	0.6536	0.64425	0.6307	0.62905	0.6543	0.6349	0.63435	0.6249	0.6305	0.6367	0.63395	0.62185	0.63495	0.63325	0.6446	0.62985	0.6395	0.63505	0.63765	0.62775	0.655	0.6253	0.6328	0.67315	0.6536	0.65525	0.6509	0.65475	0.6444	0.67165	0.6513	0.67115	0.6543	0.44035	0.438	0.4568	0.4521	0.44375	0.4514	0.4435	0.4393	0.4519	0.4359	0.4474	0.433	0.4285	0.43715	0.42925	0.441	0.4418	0.43615	0.65425	0.6632	0.65765	0.64745	0.65875	0.66165	0.6633	0.65015	0.65055	0.6662	0.6792	0.66705	0.6617	0.6583	0.65955	0.68155	0.66615	0.67205	0.6858	0.69215	0.6862	0.692	0.69075	0.6997	0.69835	0.69495	0.6921	0.69805	0.7298	0.6826	0.69085	0.68835	0.70915	0.69665	0.71805	0.6949
LAGZCK4	0.29715	0.28995	0.2983	0	0.28475	0.269	0.28525	0.27225	0.2697	0.3331	0.30805	0.3162	0.3271	0.3204	0.3067	0.3272	0.3223	0.3316	0.66	0.6516	0.64945	0.67075	0.65805	0.6475	0.64565	0.67565	0.6527	0.64555	0.63875	0.64315	0.64935	0.6461	0.6355	0.651	0.6398	0.65745	0.6383	0.6402	0.63725	0.63855	0.6406	0.6597	0.6395	0.6356	0.67695	0.65805	0.66045	0.6575	0.66005	0.65005	0.68105	0.66125	0.6741	0.65905	0.44435	0.44415	0.46085	0.4529	0.4517	0.4423	0.44085	0.44405	0.45675	0.4524	0.4658	0.45085	0.44805	0.45415	0.44215	0.45285	0.44575	0.452	0.67015	0.67075	0.6696	0.669	0.6731	0.676	0.67845	0.6622	0.66295	0.68175	0.68595	0.6789	0.6705	0.67355	0.67265	0.6883	0.68085	0.68335	0.69805	0.70165	0.70415	0.7013	0.7011	0.7063	0.70705	0.71135	0.7057	0.7075	0.73985	0.69685	0.7014	0.7024	0.7219	0.7057	0.72445	0.7043
LAGZCK5	0.2916	0.2968	0.28555	0.28475	0	0.28935	0.2874	0.28155	0.28595	0.31555	0.31145	0.31335	0.31545	0.30835	0.30905	0.3157	0.3165	0.32055	0.66345	0.65625	0.6499	0.6748	0.6672	0.65175	0.6532	0.68295	0.65595	0.65335	0.64595	0.65145	0.6552	0.6503	0.64225	0.65685	0.64695	0.6639	0.6413	0.64585	0.64235	0.6423	0.64035	0.66	0.64155	0.6372	0.6745	0.65895	0.65835	0.65725	0.6559	0.64955	0.6731	0.66015	0.673	0.66105	0.4399	0.43965	0.45985	0.44775	0.44885	0.45185	0.44235	0.44175	0.4534	0.44995	0.46065	0.4465	0.44405	0.45105	0.44305	0.45295	0.44725	0.44695	0.6737	0.6774	0.67675	0.6734	0.6736	0.68075	0.6843	0.66625	0.6686	0.6819	0.6886	0.68035	0.672	0.6773	0.6714	0.68945	0.67645	0.68575	0.69645	0.70165	0.69865	0.69905	0.70015	0.70455	0.7039	0.70905	0.6978	0.70385	0.73285	0.6899	0.6958	0.6972	0.71865	0.7006	0.72085	0.7049
LAGZCK6	0.29595	0.2924	0.2899	0.269	0.28935	0	0.289	0.2775	0.2795	0.32625	0.31175	0.3199	0.3287	0.3179	0.3121	0.3208	0.3271	0.3332	0.66025	0.65165	0.6496	0.6681	0.65855	0.64705	0.64585	0.6723	0.6536	0.64225	0.63835	0.6449	0.65255	0.6441	0.63565	0.64925	0.64075	0.6557	0.6322	0.6394	0.6376	0.63525	0.63495	0.6564	0.63855	0.63395	0.67785	0.65575	0.65705	0.65555	0.654	0.6448	0.67205	0.65455	0.67175	0.65615	0.43905	0.4387	0.4607	0.44705	0.44555	0.4408	0.44445	0.4365	0.45595	0.4466	0.45965	0.44425	0.43945	0.4442	0.43455	0.44255	0.43485	0.44745	0.6638	0.6678	0.6642	0.65975	0.66595	0.6726	0.67415	0.65625	0.65835	0.6685	0.6817	0.6714	0.66735	0.66435	0.66275	0.68495	0.67115	0.67545	0.69305	0.6969	0.69585	0.6919	0.6942	0.7026	0.6995	0.70435	0.69585	0.6989	0.7315	0.68545	0.6924	0.691	0.71455	0.69585	0.71705	0.69975
LAGZCK7	0.2945	0.31005	0.2889	0.28525	0.2874	0.289	0	0.2878	0.2815	0.32505	0.31295	0.3096	0.3183	0.3194	0.30425	0.32705	0.3094	0.31755	0.67195	0.66335	0.6622	0.6815	0.6728	0.6571	0.65505	0.689	0.66205	0.65765	0.6517	0.6594	0.6602	0.66355	0.649	0.66425	0.6556	0.6719	0.64315	0.64465	0.64765	0.6407	0.64455	0.66415	0.64735	0.6426	0.67965	0.65935	0.65785	0.658	0.6595	0.6527	0.67705	0.6626	0.67555	0.66085	0.4389	0.4392	0.4633	0.4517	0.4436	0.44925	0.443	0.43875	0.4535	0.44115	0.44545	0.43785	0.43425	0.4407	0.432	0.44195	0.4408	0.44245	0.6814	0.6856	0.6815	0.67935	0.6844	0.68935	0.6888	0.67225	0.6729	0.68455	0.6952	0.69025	0.6809	0.67935	0.67845	0.69595	0.6844	0.6893	0.6989	0.70115	0.7047	0.6989	0.70025	0.7077	0.70465	0.71055	0.7062	0.70165	0.73385	0.69745	0.69775	0.6928	0.71755	0.69685	0.72025	0.70635
LAGZCK8	0.29325	0.2932	0.29665	0.27225	0.28155	0.2775	0.2878	0	0.2733	0.3297	0.31715	0.32405	0.33205	0.31425	0.31235	0.32655	0.3283	0.33505	0.6594	0.6511	0.6463	0.66725	0.659	0.64665	0.6465	0.67575	0.65115	0.64915	0.64195	0.64565	0.64695	0.64475	0.6377	0.65105	0.6412	0.6578	0.6415	0.64405	0.64375	0.64205	0.64185	0.66475	0.64295	0.63725	0.68145	0.6592	0.66135	0.6615	0.6608	0.6486	0.67735	0.66095	0.6767	0.65875	0.44895	0.45065	0.46065	0.4565	0.4561	0.4523	0.45065	0.44855	0.46375	0.4548	0.4637	0.45155	0.4474	0.45095	0.43905	0.45415	0.4492	0.4507	0.66635	0.6684	0.66675	0.66225	0.66755	0.6733	0.67335	0.6608	0.66065	0.6751	0.68205	0.67545	0.6649	0.6658	0.66695	0.683	0.6736	0.6785	0.6981	0.69935	0.70025	0.69915	0.6982	0.70315	0.70475	0.7081	0.7043	0.70495	0.73625	0.68935	0.6948	0.6967	0.7224	0.70195	0.72275	0.70425
LAGZCK9	0.2882	0.28405	0.29545	0.2697	0.28595	0.2795	0.2815	0.2733	0	0.328	0.3151	0.3046	0.32515	0.30655	0.30385	0.33005	0.31775	0.3245	0.66215	0.6516	0.65165	0.6718	0.6624	0.65215	0.64805	0.6774	0.6563	0.6446	0.6407	0.6454	0.65	0.64895	0.63825	0.65545	0.6412	0.65915	0.6347	0.63965	0.64115	0.63385	0.6383	0.65505	0.64085	0.63575	0.67265	0.65075	0.6511	0.65215	0.65235	0.6442	0.66735	0.6528	0.66755	0.65435	0.44375	0.45205	0.46415	0.4495	0.45115	0.45075	0.44955	0.4483	0.4568	0.4444	0.45695	0.4456	0.4403	0.4418	0.42695	0.4463	0.43465	0.44415	0.67015	0.6713	0.66765	0.66755	0.66995	0.67605	0.67375	0.6632	0.66105	0.67795	0.68585	0.67995	0.6668	0.67085	0.67015	0.68655	0.6728	0.6795	0.69655	0.6978	0.6997	0.69565	0.6969	0.70355	0.7009	0.7068	0.7026	0.6971	0.732	0.68955	0.6928	0.69085	0.7133	0.6957	0.7136	0.6984
LAGZFo1	0.3253	0.33205	0.3155	0.3331	0.31555	0.32625	0.32505	0.3297	0.328	0	0.30595	0.29555	0.3035	0.30235	0.29255	0.29475	0.3009	0.30305	0.70605	0.69995	0.69375	0.712	0.70745	0.69045	0.69265	0.71945	0.69605	0.68685	0.6826	0.68855	0.6925	0.6862	0.679	0.69305	0.6861	0.70115	0.6674	0.6769	0.6712	0.6716	0.66435	0.6841	0.66455	0.6668	0.7014	0.6738	0.67405	0.6727	0.67395	0.6602	0.68975	0.6733	0.6921	0.67055	0.43355	0.43295	0.4533	0.4417	0.4393	0.4531	0.431	0.4303	0.4433	0.4346	0.4411	0.4266	0.4178	0.439	0.42315	0.4391	0.43295	0.431	0.6798	0.68785	0.68335	0.6803	0.6811	0.6885	0.69255	0.67275	0.675	0.67985	0.6883	0.68305	0.677	0.6733	0.67435	0.6921	0.6731	0.6881	0.69615	0.70085	0.6966	0.69145	0.69845	0.7039	0.7033	0.70245	0.69985	0.7105	0.7458	0.6928	0.70445	0.6984	0.7153	0.7039	0.7196	0.7022
